date,full_name,stars,forks,open_issues,created_at,pushed_at,top_contributors
2026-08-30,vercel/next.js,142016,31818,3638,2016-10-05T23:32:51Z,2026-08-30T01:49:36Z,ijjk;timneutkens;sokra;vercel-release-bot;huozhi
2026-08-30,kubernetes/kubernetes,125571,43947,2991,2014-06-06T22:56:04Z,2026-08-28T22:04:04Z,k8s-ci-robot;liggitt;thockin;wojtek-t;brendandburns
2026-08-30,addyosmani/agent-skills,90812,9714,124,2026-02-15T20:20:26Z,2026-08-28T23:31:50Z,addyosmani;nucliweb;federicobartoli;ayobamiseun;Liyuk
2026-08-30,apolloconfig/apollo,29807,10162,160,2016-03-04T10:24:23Z,2026-08-30T02:32:49Z,nobodyiam;lepdou;yiming187;klboke;Anilople
2026-08-30,kaifcodec/user-scanner,3764,426,12,2025-10-19T04:21:48Z,2026-08-30T06:06:34Z,kaifcodec;brunolm;VamatoHD;json-hunter07;kristoisberg
2026-08-30,agentconnect-md/agentconnect,806,25,22,2026-07-24T02:17:34Z,2026-08-30T03:20:04Z,zfy0701;spacedragon;Poytr1;frozenluo;stkevintan
2026-08-30,mreflow/control-center,139,56,5,2026-08-25T07:34:23Z,2026-08-26T01:12:15Z,mreflow
2026-08-30,fabric8io/kubernetes-client,3671,1514,104,2015-07-09T15:43:13Z,2026-08-27T12:21:07Z,manusa;fusesource-ci;iocanel;rohanKanojia;shawkins
2026-08-30,jhipster/generator-jhipster,22449,4190,91,2013-10-21T20:07:22Z,2026-08-30T00:32:30Z,mshima;DanielFran;jdubois;deepu105;pascalgrimaud
2026-08-30,ZzzLc0405/photo-abstract-editorial,5084,320,11,2026-08-04T09:35:31Z,2026-08-19T03:31:31Z,ZzzLc0405
2026-08-30,KKKKhazix/human-writing,3280,255,7,2026-08-05T01:19:41Z,2026-08-11T15:07:45Z,KKKKhazix
2026-08-31,denoland/deno,108350,6372,1547,2018-05-15T01:34:26Z,2026-08-31T09:11:09Z,bartlomieju;dsherret;ry;littledivy;nayeemrmn
2026-08-31,omdsh-dev/DSH-better-sidebar,3163,272,142,2026-08-07T16:04:00Z,2026-08-30T17:31:32Z,Menghuan1918;HuanLinOTO;Zzy-min;yanzhaohui1999;Hoemr
2026-08-31,pathwaycom/arc-task-gen,9090,61,1,2026-08-04T12:59:02Z,2026-08-11T09:52:10Z,ludovicPathway
2026-08-31,rohitg00/ai-engineering-from-scratch,51448,8904,97,2026-03-18T18:38:02Z,2026-08-30T09:25:48Z,rohitg00;abhinav-m22;thereisnotime;thejesh23;ismet
2026-08-31,KKKKhazix/human-writing,3317,258,7,2026-08-05T01:19:41Z,2026-08-11T15:07:45Z,KKKKhazix
2026-08-31,agentconnect-md/agentconnect,976,26,25,2026-07-24T02:17:34Z,2026-08-31T06:24:48Z,zfy0701;spacedragon;Poytr1;frozenluo;stkevintan
2026-08-31,block/buzz,31595,4053,3272,2026-03-06T21:00:56Z,2026-08-31T09:28:44Z,wesbillman;wpfleger96;tlongwell-block;klopez4212;tellaho
2026-08-31,dataelement/dsh-desktop,3477,192,59,2026-08-13T13:45:50Z,2026-08-30T12:15:59Z,wisdomqin;yaojin3616;ba0gu0;SuperstructureJH;AdamPlatin123
2026-08-31,angular/angular,101015,27455,1161,2014-09-18T16:12:01Z,2026-08-29T01:06:10Z,gkalpak;petebacondarwin;angular-robot;devversion;crisbeto
2026-08-31,mreflow/control-center,158,62,5,2026-08-25T07:34:23Z,2026-08-26T01:12:15Z,mreflow
2026-08-31,MudCosmetologist/Autocad-Software,1197,120,0,2026-06-01T05:44:15Z,2026-08-26T08:16:59Z,MudCosmetologist
2026-08-31,Tianyu199509/DeskBox,2366,141,25,2026-06-11T10:55:22Z,2026-08-29T13:27:35Z,Tianyu199509
2026-08-31,multica-ai/multica,48364,6210,1414,2026-01-13T17:59:46Z,2026-08-31T09:29:02Z,Bohan-J;NevilleQingNY;forrestchang;ldnvnbl;multica-eve
2026-08-31,agentscope-ai/QwenPaw,34723,3048,889,2026-02-24T03:42:56Z,2026-08-31T09:21:26Z,rayrayraykk;zhaozhuang521;zhijianma;hongxicheng;xieyxclack
